Thu 04/May/2023 14:40:54
ID: A1
Bemerkung: 
Ud_start: -10
Ud_stop: 20
Ud_step: 0.5
Ugconst_start: 0.1000000014901161
Ugconst_stop: 15.10000038146973
Ugconst_step: 4
Int_Time: Short
IG_Limit: 1m
ID_Limit: 1m
Hold_Time: 0.15
StepDelay_Time: 0.15
Ch_length: 1E-005
Ch_width: 1E-005
Ch_height: 6.5E-008
Epsilon_r: 4
# Die folgenden 2 Zeilen sind nur für AIM-Extract wichtig !
61     4
0.1000000014901161     4.100000001490116     8.100000001490116     12.10000000149012    
# 
Messdaten: 
# Ausgabeformat:
# 1.Spalte: Ud, 2.Spalte: Id zu Ugconst_start, 3.Spalte: Id zu Ugconst_start + Ugconst_step,
#    4.Spalte: Id zu Ugconst_start + 2*Ugconst_step, usw.
# 
-10     5.77E-012     2.67E-012     1.54E-012     1.028E-012    
-9.5     5.81E-012     3.02E-012     1.89E-012     1.382E-012    
-9     6.02E-012     3.18E-012     2E-012     1.53E-012    
-8.5     5.92E-012     3.34E-012     2.2E-012     1.76E-012    
-8     6.27E-012     3.46E-012     2.33E-012     1.84E-012    
-7.5     6.27E-012     5.24E-012     2.51E-012     1.97E-012    
-7     7.640000000000001E-012     3.86E-012     2.59E-012     2.07E-012    
-6.5     6.49E-012     3.87E-012     2.7E-012     2.07E-012    
-6     6.48E-012     4.08E-012     2.85E-012     2.2E-012    
-5.5     6.54E-012     4.13E-012     2.9E-012     2.35E-012    
-5     6.45E-012     4.18E-012     3.05E-012     2.42E-012    
-4.5     6.59E-012     4.27E-012     3.19E-012     2.45E-012    
-4     6.44E-012     4.34E-012     3.18E-012     2.54E-012    
-3.5     6.64E-012     4.39E-012     3.25E-012     2.67E-012    
-3     6.69E-012     4.44E-012     3.33E-012     2.66E-012    
-2.5     6.67E-012     4.59E-012     3.24E-012     2.76E-012    
-2     6.67E-012     4.58E-012     3.44E-012     2.83E-012    
-1.5     6.65E-012     4.64E-012     3.6E-012     2.76E-012    
-1     6.79E-012     4.75E-012     4.89E-012     3.03E-012    
-0.5     6.65E-012     4.77E-012     3.81E-012     3.02E-012    
0     6.82E-012     4.8E-012     3.7E-012     3.06E-012    
0.5     6.7E-012     4.9E-012     3.87E-012     3.17E-012    
1     8.860000000000001E-012     6.19E-012     3.91E-012     3.25E-012    
1.5     1.74E-010     1.64E-011     9.4E-012     1.181E-011    
2     2.8E-009     1.251E-009     8.73E-010     1.044E-009    
2.5     9.14E-009     1.96E-008     1.673E-008     1.816E-008    
3     1.634E-008     8.17E-008     7.4E-008     7.72E-008    
3.5     2.38E-008     1.824E-007     1.752E-007     1.808E-007    
4     3.2E-008     3.16E-007     3.09E-007     3.17E-007    
4.5     4.08E-008     4.92E-007     4.86E-007     4.97E-007    
5     4.99E-008     7.09E-007     7.07E-007     7.22E-007    
5.5     5.92E-008     9.659999999999999E-007     9.75E-007     9.930000000000001E-007    
6     6.9E-008     1.261E-006     1.293E-006     1.315E-006    
6.5     7.89E-008     1.585E-006     1.664E-006     1.691E-006    
7     8.91E-008     1.935E-006     2.09E-006     2.12E-006    
7.5     9.960000000000001E-008     2.3E-006     2.57E-006     2.62E-006    
8     1.101E-007     2.7E-006     3.11E-006     3.16E-006    
8.5     1.209E-007     3.1E-006     3.71E-006     3.77E-006    
9     1.318E-007     3.53E-006     4.34E-006     4.44E-006    
9.5     1.427E-007     3.95E-006     5.05E-006     5.18E-006    
10     1.538E-007     4.39E-006     5.79E-006     5.98E-006    
10.5     1.645E-007     4.83E-006     6.55E-006     6.81E-006    
11     1.759E-007     5.28E-006     7.37E-006     7.74E-006    
11.5     1.871E-007     5.74E-006     8.209999999999999E-006     8.729999999999999E-006    
12     1.986E-007     6.21E-006     9.08E-006     9.789999999999999E-006    
12.5     2.09E-007     6.68E-006     9.96E-006     1.092E-005    
13     2.21E-007     7.16E-006     1.088E-005     1.211E-005    
13.5     2.33E-007     7.63E-006     1.181E-005     1.334E-005    
14     2.44E-007     8.11E-006     1.276E-005     1.463E-005    
14.5     2.56E-007     8.600000000000001E-006     1.371E-005     1.597E-005    
15     2.68E-007     9.089999999999999E-006     1.468E-005     1.737E-005    
15.5     2.79E-007     9.57E-006     1.565E-005     1.877E-005    
16     2.91E-007     1.007E-005     1.666E-005     2.01E-005    
16.5     3.03E-007     1.057E-005     1.764E-005     2.16E-005    
17     3.14E-007     1.107E-005     1.865E-005     2.31E-005    
17.5     3.26E-007     1.156E-005     1.966E-005     2.47E-005    
18     3.38E-007     1.207E-005     2.06E-005     2.62E-005    
18.5     3.5E-007     1.257E-005     2.16E-005     2.78E-005    
19     3.62E-007     1.308E-005     2.27E-005     2.94E-005    
19.5     3.74E-007     1.357E-005     2.37E-005     3.1E-005    
20     3.86E-007     1.408E-005     2.47E-005     3.26E-005    
