Thu 04/May/2023 14:37:03
ID: A1
Bemerkung: 
Ud_start: 0
Ud_stop: 20
Ud_step: 0.5
Ugconst_start: 0
Ugconst_stop: 20
Ugconst_step: 4
Int_Time: Short
IG_Limit: 1m
ID_Limit: 1m
Hold_Time: 0.15
StepDelay_Time: 0.15
Ch_length: 1E-005
Ch_width: 1E-005
Ch_height: 6.5E-008
Epsilon_r: 4
# Die folgenden 2 Zeilen sind nur für AIM-Extract wichtig !
41     6
0     4     8     12     16     20    
# 
Messdaten: 
# Ausgabeformat:
# 1.Spalte: Ud, 2.Spalte: Id zu Ugconst_start, 3.Spalte: Id zu Ugconst_start + Ugconst_step,
#    4.Spalte: Id zu Ugconst_start + 2*Ugconst_step, usw.
# 
0     7.41E-012     -1.83E-010     -4.41E-010     -8.42E-010     -1.287E-009     -1.88E-009    
0.5     7.59E-012     1.11E-007     3.46E-007     6.5E-007     9.790000000000001E-007     1.401E-006    
1     7.640000000000001E-012     1.857E-007     6.68E-007     1.276E-006     1.949E-006     2.82E-006    
1.5     7.669999999999999E-012     2.31E-007     9.58E-007     1.872E-006     2.94E-006     4.2E-006    
2     7.72E-012     2.55E-007     1.217E-006     2.47E-006     3.9E-006     5.57E-006    
2.5     7.59E-012     2.66E-007     1.45E-006     3E-006     4.85E-006     6.89E-006    
3     7.82E-012     2.7E-007     1.656E-006     3.54E-006     5.77E-006     8.19E-006    
3.5     7.769999999999999E-012     2.73E-007     1.836E-006     4.05E-006     6.65E-006     9.459999999999999E-006    
4     7.78E-012     2.75E-007     1.994E-006     4.52E-006     7.51E-006     1.071E-005    
4.5     7.81E-012     2.76E-007     2.15E-006     4.98E-006     8.34E-006     1.194E-005    
5     7.8E-012     2.77E-007     2.26E-006     5.41E-006     9.140000000000001E-006     1.315E-005    
5.5     7.78E-012     2.79E-007     2.36E-006     5.8E-006     9.94E-006     1.436E-005    
6     7.850000000000001E-012     2.79E-007     2.46E-006     6.17E-006     1.07E-005     1.555E-005    
6.5     7.859999999999999E-012     2.8E-007     2.54E-006     6.51E-006     1.143E-005     1.672E-005    
7     7.840000000000001E-012     2.81E-007     2.61E-006     6.82E-006     1.214E-005     1.788E-005    
7.5     7.859999999999999E-012     2.82E-007     2.66E-006     7.11E-006     1.281E-005     1.901E-005    
8     7.73E-012     2.82E-007     2.71E-006     7.37E-006     1.344E-005     2.01E-005    
8.5     7.88E-012     2.83E-007     2.75E-006     7.61E-006     1.406E-005     2.12E-005    
9     7.91E-012     2.84E-007     2.79E-006     7.82E-006     1.464E-005     2.22E-005    
9.5     7.940000000000001E-012     2.85E-007     2.81E-006     8.01E-006     1.518E-005     2.32E-005    
10     7.869999999999999E-012     2.85E-007     2.83E-006     8.19E-006     1.569E-005     2.42E-005    
10.5     7.850000000000001E-012     2.85E-007     2.85E-006     8.34E-006     1.615E-005     2.51E-005    
11     7.81E-012     2.86E-007     2.86E-006     8.48E-006     1.661E-005     2.6E-005    
11.5     7.9E-012     2.86E-007     2.86E-006     8.610000000000001E-006     1.701E-005     2.69E-005    
12     7.81E-012     2.87E-007     2.87E-006     8.729999999999999E-006     1.739E-005     2.77E-005    
12.5     7.9E-012     2.87E-007     2.88E-006     8.82E-006     1.775E-005     2.85E-005    
13     7.7E-012     2.87E-007     2.9E-006     8.909999999999999E-006     1.807E-005     2.93E-005    
13.5     7.92E-012     2.88E-007     2.91E-006     8.98E-006     1.837E-005     3E-005    
14     7.8E-012     2.88E-007     2.9E-006     9.05E-006     1.865E-005     3.07E-005    
14.5     7.88E-012     2.88E-007     2.91E-006     9.099999999999999E-006     1.891E-005     3.14E-005    
15     7.869999999999999E-012     2.89E-007     2.92E-006     9.150000000000001E-006     1.915E-005     3.21E-005    
15.5     7.91E-012     2.89E-007     2.93E-006     9.18E-006     1.936E-005     3.26E-005    
16     7.88E-012     2.89E-007     2.92E-006     9.22E-006     1.956E-005     3.32E-005    
16.5     7.62E-012     2.9E-007     2.93E-006     9.25E-006     1.974E-005     3.38E-005    
17     7.9E-012     2.9E-007     2.94E-006     9.279999999999999E-006     1.991E-005     3.43E-005    
17.5     7.859999999999999E-012     2.9E-007     2.93E-006     9.310000000000001E-006     2E-005     3.48E-005    
18     7.869999999999999E-012     2.9E-007     2.95E-006     9.330000000000001E-006     2.01E-005     3.53E-005    
18.5     7.769999999999999E-012     2.91E-007     2.94E-006     9.36E-006     2.03E-005     3.57E-005    
19     7.89E-012     2.91E-007     2.95E-006     9.38E-006     2.04E-005     3.61E-005    
19.5     7.89E-012     2.91E-007     2.96E-006     9.4E-006     2.05E-005     3.65E-005    
20     7.91E-012     2.91E-007     2.95E-006     9.42E-006     2.06E-005     3.69E-005    
