Thu 04/May/2023 14:39:00
ID: A1
Bemerkung: 
Ud_start: -10
Ud_stop: 20
Ud_step: 0.5
Ugconst_start: 0.1000000014901161
Ugconst_stop: 15.10000038146973
Ugconst_step: 4
Int_Time: Short
IG_Limit: 1m
ID_Limit: 1m
Hold_Time: 0.15
StepDelay_Time: 0.15
Ch_length: 1E-005
Ch_width: 1E-005
Ch_height: 6.5E-008
Epsilon_r: 4
# Die folgenden 2 Zeilen sind nur für AIM-Extract wichtig !
61     4
0.1000000014901161     4.100000001490116     8.100000001490116     12.10000000149012    
# 
Messdaten: 
# Ausgabeformat:
# 1.Spalte: Ud, 2.Spalte: Id zu Ugconst_start, 3.Spalte: Id zu Ugconst_start + Ugconst_step,
#    4.Spalte: Id zu Ugconst_start + 2*Ugconst_step, usw.
# 
-10     -1.545E-011     -8.01E-012     -5.47E-012     -4.06E-012    
-9.5     -1.365E-011     -7.73E-012     -5.1E-012     -3.77E-012    
-9     -1.438E-011     -7.350000000000001E-012     -4.94E-012     -3.55E-012    
-8.5     -1.395E-011     -7.13E-012     -4.68E-012     -3.33E-012    
-8     -1.361E-011     -6.82E-012     -4.49E-012     -3.1E-012    
-7.5     -1.324E-011     -6.62E-012     -4.25E-012     -3E-012    
-7     -1.276E-011     -6.39E-012     -4.06E-012     -2.82E-012    
-6.5     -1.243E-011     -6.21E-012     -3.86E-012     -2.68E-012    
-6     -1.21E-011     -5.99E-012     -3.78E-012     -2.63E-012    
-5.5     -1.172E-011     -5.85E-012     -3.59E-012     -2.35E-012    
-5     -1.145E-011     -5.71E-012     -3.52E-012     -2.3E-012    
-4.5     -1.129E-011     -5.54E-012     -3.35E-012     -2.19E-012    
-4     -1.1E-011     -5.43E-012     -3.2E-012     -2.07E-012    
-3.5     -1.062E-011     -5.23E-012     -3.11E-012     -2.01E-012    
-3     -1.052E-011     -5.22E-012     -3.07E-012     -1.81E-012    
-2.5     -1.019E-011     -5.03E-012     -2.85E-012     -1.72E-012    
-2     -9.84E-012     -4.92E-012     -2.8E-012     -1.64E-012    
-1.5     -9.66E-012     -4.74E-012     -2.67E-012     -1.61E-012    
-1     -9.370000000000001E-012     -4.67E-012     -2.62E-012     -1.615E-012    
-0.5     -9.24E-012     -4.53E-012     -2.54E-012     6.290000000000001E-013    
0     -9.160000000000001E-012     -3.94E-012     -2.44E-012     -1.436E-012    
0.5     -8.74E-012     -4.23E-012     -2.33E-012     -1.219E-012    
1     2.88E-011     1.65E-011     2.3E-011     5.91E-011    
1.5     5.18E-010     9.02E-010     1.007E-009     1.641E-009    
2     2.15E-009     7.26E-009     7.87E-009     1.054E-008    
2.5     5.19E-009     2.64E-008     2.83E-008     3.42E-008    
3     9.430000000000001E-009     6.7E-008     7.17E-008     8.23E-008    
3.5     1.463E-008     1.345E-007     1.442E-007     1.606E-007    
4     2.04E-008     2.32E-007     2.5E-007     2.72E-007    
4.5     2.71E-008     3.64E-007     3.96E-007     4.26E-007    
5     3.42E-008     5.320000000000001E-007     5.86E-007     6.24E-007    
5.5     4.16E-008     7.33E-007     8.19E-007     8.660000000000001E-007    
6     4.95E-008     9.659999999999999E-007     1.099E-006     1.16E-006    
6.5     5.75E-008     1.227E-006     1.431E-006     1.505E-006    
7     6.57E-008     1.514E-006     1.806E-006     1.903E-006    
7.5     7.41E-008     1.82E-006     2.23E-006     2.35E-006    
8     8.26E-008     2.14E-006     2.69E-006     2.86E-006    
8.5     9.12E-008     2.48E-006     3.22E-006     3.44E-006    
9     1E-007     2.84E-006     3.76E-006     4.06E-006    
9.5     1.088E-007     3.18E-006     4.37E-006     4.74E-006    
10     1.178E-007     3.56E-006     5E-006     5.5E-006    
10.5     1.264E-007     3.92E-006     5.64E-006     6.27E-006    
11     1.354E-007     4.29E-006     6.33E-006     7.13E-006    
11.5     1.445E-007     4.67E-006     7.04E-006     8.029999999999999E-006    
12     1.537E-007     5.07E-006     7.78E-006     9E-006    
12.5     1.629E-007     5.46E-006     8.53E-006     9.989999999999999E-006    
13     1.722E-007     5.86E-006     9.310000000000001E-006     1.106E-005    
13.5     1.816E-007     6.26E-006     1.01E-005     1.214E-005    
14     1.908E-007     6.66E-006     1.091E-005     1.327E-005    
14.5     1.99E-007     7.07E-006     1.172E-005     1.443E-005    
15     2.09E-007     7.48E-006     1.257E-005     1.563E-005    
15.5     2.19E-007     7.880000000000001E-006     1.34E-005     1.685E-005    
16     2.28E-007     8.3E-006     1.426E-005     1.811E-005    
16.5     2.38E-007     8.71E-006     1.511E-005     1.938E-005    
17     2.48E-007     9.130000000000001E-006     1.599E-005     2.06E-005    
17.5     2.57E-007     9.54E-006     1.687E-005     2.2E-005    
18     2.67E-007     9.979999999999999E-006     1.776E-005     2.33E-005    
18.5     2.76E-007     1.039E-005     1.864E-005     2.47E-005    
19     2.86E-007     1.081E-005     1.954E-005     2.6E-005    
19.5     2.95E-007     1.123E-005     2.04E-005     2.74E-005    
20     3.05E-007     1.165E-005     2.13E-005     2.88E-005    
