Tue 28/Feb/2023 16:26:32
ID: A1
Bemerkung: 
Ud_start: -10
Ud_stop: 20
Ud_step: 0.5
Ugconst_start: 0.1000000014901161
Ugconst_stop: 15.10000038146973
Ugconst_step: 5
Int_Time: Short
IG_Limit: 1m
ID_Limit: 1m
Hold_Time: 0.15
StepDelay_Time: 0.15
Ch_length: 1E-005
Ch_width: 1E-005
Ch_height: 6.5E-008
Epsilon_r: 4
# Die folgenden 2 Zeilen sind nur für AIM-Extract wichtig !
61     4
0.1000000014901161     5.100000001490116     10.10000000149012     15.10000000149012    
# 
Messdaten: 
# Ausgabeformat:
# 1.Spalte: Ud, 2.Spalte: Id zu Ugconst_start, 3.Spalte: Id zu Ugconst_start + Ugconst_step,
#    4.Spalte: Id zu Ugconst_start + 2*Ugconst_step, usw.
# 
-10     -1.017E-011     -9.13E-012     -7.63E-012     -6.37E-012    
-9.5     -9.82E-012     -8.669999999999999E-012     -7.25E-012     -5.9E-012    
-9     -9.62E-012     -8.150000000000001E-012     -6.85E-012     -5.62E-012    
-8.5     -9.25E-012     -7.859999999999999E-012     -6.55E-012     -5.29E-012    
-8     -9.01E-012     -7.53E-012     -6.46E-012     -5.16E-012    
-7.5     -8.82E-012     -7.440000000000001E-012     -6.1E-012     -4.93E-012    
-7     -8.59E-012     -7.05E-012     -6.06E-012     -4.7E-012    
-6.5     -8.33E-012     -6.87E-012     -5.95E-012     -4.54E-012    
-6     -8.169999999999999E-012     -6.72E-012     -5.63E-012     -4.38E-012    
-5.5     -7.81E-012     -6.46E-012     -5.32E-012     -4.24E-012    
-5     -7.859999999999999E-012     -6.38E-012     -5.15E-012     -4.1E-012    
-4.5     -7.62E-012     -6.17E-012     -4.95E-012     -3.96E-012    
-4     -7.51E-012     -6.07E-012     -4.7E-012     -3.85E-012    
-3.5     -7.37E-012     -5.9E-012     -4.64E-012     -3.66E-012    
-3     -7.37E-012     -5.72E-012     -4.49E-012     -3.5E-012    
-2.5     -7.15E-012     -5.73E-012     -4.35E-012     -3.38E-012    
-2     -6.95E-012     -5.51E-012     -4.31E-012     -3.31E-012    
-1.5     -6.93E-012     -5.53E-012     -4.24E-012     -3.2E-012    
-1     -6.81E-012     -5.35E-012     -4.09E-012     -3.11E-012    
-0.5     -6.69E-012     -5.35E-012     -4.07E-012     -3.02E-012    
0     -5.47E-012     -5.14E-012     -3.88E-012     -2.95E-012    
0.5     1.061E-010     -4.15E-013     -4.83E-013     -2.32E-013    
1     8.53E-010     5.08E-010     4.35E-010     3.9E-010    
1.5     2.88E-009     5.06E-009     4.66E-009     4.46E-009    
2     6.28E-009     2.01E-008     1.941E-008     1.887E-008    
2.5     1.08E-008     5.35E-008     5.11E-008     5.01E-008    
3     1.631E-008     1.104E-007     1.073E-007     1.058E-007    
3.5     2.24E-008     1.964E-007     1.919E-007     1.898E-007    
4     2.94E-008     3.13E-007     3.09E-007     3.07E-007    
4.5     3.71E-008     4.7E-007     4.66E-007     4.64E-007    
5     4.51E-008     6.68E-007     6.65E-007     6.62E-007    
5.5     5.36E-008     9.09E-007     9.07E-007     9.040000000000001E-007    
6     6.25E-008     1.191E-006     1.197E-006     1.196E-006    
6.5     7.17E-008     1.514E-006     1.535E-006     1.537E-006    
7     8.12E-008     1.872E-006     1.926E-006     1.929E-006    
7.5     9.080000000000001E-008     2.26E-006     2.36E-006     2.37E-006    
8     1.007E-007     2.67E-006     2.86E-006     2.87E-006    
8.5     1.106E-007     3.11E-006     3.41E-006     3.43E-006    
9     1.208E-007     3.57E-006     4.01E-006     4.05E-006    
9.5     1.312E-007     4.04E-006     4.67E-006     4.72E-006    
10     1.415E-007     4.54E-006     5.39E-006     5.45E-006    
10.5     1.516E-007     5.01E-006     6.12E-006     6.22E-006    
11     1.623E-007     5.52E-006     6.95E-006     7.08E-006    
11.5     1.728E-007     6.04E-006     7.81E-006     8E-006    
12     1.836E-007     6.57E-006     8.729999999999999E-006     8.99E-006    
12.5     1.942E-007     7.1E-006     9.670000000000001E-006     1.004E-005    
13     2.06E-007     7.64E-006     1.066E-005     1.117E-005    
13.5     2.15E-007     8.19E-006     1.167E-005     1.235E-005    
14     2.26E-007     8.739999999999999E-006     1.272E-005     1.362E-005    
14.5     2.38E-007     9.290000000000001E-006     1.379E-005     1.493E-005    
15     2.48E-007     9.860000000000001E-006     1.488E-005     1.633E-005    
15.5     2.6E-007     1.042E-005     1.598E-005     1.777E-005    
16     2.71E-007     1.099E-005     1.712E-005     1.929E-005    
16.5     2.82E-007     1.156E-005     1.825E-005     2.09E-005    
17     2.93E-007     1.213E-005     1.941E-005     2.24E-005    
17.5     3.03E-007     1.27E-005     2.06E-005     2.4E-005    
18     3.14E-007     1.329E-005     2.18E-005     2.58E-005    
18.5     3.25E-007     1.386E-005     2.29E-005     2.75E-005    
19     3.36E-007     1.445E-005     2.41E-005     2.94E-005    
19.5     3.47E-007     1.503E-005     2.54E-005     3.12E-005    
20     3.59E-007     1.561E-005     2.65E-005     3.29E-005    
