Tue 28/Feb/2023 16:54:44
ID: C1
Bemerkung: 
Ud_start: 0
Ud_stop: 20
Ud_step: 0.5
Ugconst_start: 0
Ugconst_stop: 20
Ugconst_step: 4
Int_Time: Short
IG_Limit: 1m
ID_Limit: 1m
Hold_Time: 0.15
StepDelay_Time: 0.15
Ch_length: 1E-005
Ch_width: 1E-005
Ch_height: 6.5E-008
Epsilon_r: 4
# Die folgenden 2 Zeilen sind nur für AIM-Extract wichtig !
41     6
0     4     8     12     16     20    
# 
Messdaten: 
# Ausgabeformat:
# 1.Spalte: Ud, 2.Spalte: Id zu Ugconst_start, 3.Spalte: Id zu Ugconst_start + Ugconst_step,
#    4.Spalte: Id zu Ugconst_start + 2*Ugconst_step, usw.
# 
0     -2.9E-011     -8.240000000000001E-010     -1.82E-009     -2.62E-009     -3.46E-009     -4.25E-009    
0.5     1.906E-008     5.92E-007     1.237E-006     1.858E-006     2.48E-006     3.08E-006    
1     2.46E-008     1.078E-006     2.4E-006     3.64E-006     4.85E-006     6.04E-006    
1.5     2.56E-008     1.467E-006     3.46E-006     5.32E-006     7.15E-006     8.919999999999999E-006    
2     2.63E-008     1.774E-006     4.44E-006     6.92E-006     9.36E-006     1.174E-005    
2.5     2.69E-008     2.03E-006     5.33E-006     8.45E-006     1.151E-005     1.449E-005    
3     2.74E-008     2.22E-006     6.14E-006     9.9E-006     1.358E-005     1.717E-005    
3.5     2.79E-008     2.36E-006     6.88E-006     1.128E-005     1.559E-005     1.979E-005    
4     2.83E-008     2.47E-006     7.52E-006     1.258E-005     1.753E-005     2.23E-005    
4.5     2.87E-008     2.56E-006     8.090000000000001E-006     1.382E-005     1.94E-005     2.48E-005    
5     2.92E-008     2.63E-006     8.569999999999999E-006     1.498E-005     2.12E-005     2.73E-005    
5.5     2.96E-008     2.69E-006     8.98E-006     1.607E-005     2.29E-005     2.97E-005    
6     3E-008     2.74E-006     9.320000000000001E-006     1.708E-005     2.46E-005     3.21E-005    
6.5     3.04E-008     2.77E-006     9.61E-006     1.803E-005     2.63E-005     3.44E-005    
7     3.08E-008     2.81E-006     9.850000000000001E-006     1.889E-005     2.78E-005     3.67E-005    
7.5     3.13E-008     2.83E-006     1.005E-005     1.968E-005     2.93E-005     3.89E-005    
8     3.18E-008     2.86E-006     1.022E-005     2.04E-005     3.08E-005     4.11E-005    
8.5     3.21E-008     2.88E-006     1.036E-005     2.1E-005     3.22E-005     4.33E-005    
9     3.25E-008     2.9E-006     1.049E-005     2.16E-005     3.35E-005     4.54E-005    
9.5     3.28E-008     2.92E-006     1.06E-005     2.21E-005     3.48E-005     4.75E-005    
10     3.3E-008     2.94E-006     1.069E-005     2.26E-005     3.6E-005     4.95E-005    
10.5     3.34E-008     2.95E-006     1.077E-005     2.3E-005     3.71E-005     5.14E-005    
11     3.37E-008     2.97E-006     1.085E-005     2.33E-005     3.82E-005     5.35E-005    
11.5     3.39E-008     2.98E-006     1.093E-005     2.36E-005     3.92E-005     5.54E-005    
12     3.44E-008     2.99E-006     1.1E-005     2.39E-005     4.01E-005     5.72E-005    
12.5     3.46E-008     3.01E-006     1.106E-005     2.42E-005     4.1E-005     5.9E-005    
13     3.48E-008     3.02E-006     1.112E-005     2.44E-005     4.19E-005     6.08E-005    
13.5     3.52E-008     3.03E-006     1.118E-005     2.46E-005     4.26E-005     6.25E-005    
14     3.55E-008     3.04E-006     1.123E-005     2.48E-005     4.33E-005     6.42E-005    
14.5     3.57E-008     3.05E-006     1.128E-005     2.5E-005     4.39E-005     6.58E-005    
15     3.6E-008     3.07E-006     1.133E-005     2.52E-005     4.45E-005     6.74E-005    
15.5     3.62E-008     3.07E-006     1.137E-005     2.53E-005     4.51E-005     6.889999999999999E-005    
16     3.65E-008     3.09E-006     1.142E-005     2.55E-005     4.56E-005     7.03E-005    
16.5     3.67E-008     3.09E-006     1.146E-005     2.56E-005     4.61E-005     7.17E-005    
17     3.69E-008     3.1E-006     1.15E-005     2.58E-005     4.65E-005     7.3E-005    
17.5     3.72E-008     3.12E-006     1.154E-005     2.59E-005     4.7E-005     7.43E-005    
18     3.75E-008     3.13E-006     1.158E-005     2.6E-005     4.74E-005     7.550000000000001E-005    
18.5     3.78E-008     3.13E-006     1.162E-005     2.61E-005     4.78E-005     7.660000000000001E-005    
19     3.79E-008     3.15E-006     1.166E-005     2.63E-005     4.82E-005     7.770000000000001E-005    
19.5     3.8E-008     3.15E-006     1.169E-005     2.64E-005     4.85E-005     7.88E-005    
20     3.82E-008     3.17E-006     1.173E-005     2.65E-005     4.89E-005     7.97E-005    
